line	Date	date	Time	lat	long	alt	temp
316	5/25/2009	2009-05-25	1:30:36	45.5682211	-87.2764966	166.02	10
317	5/25/2009	2009-05-25	1:45:16	45.5658229	-87.2746608	159.86	8
318	5/25/2009	2009-05-25	2:00:33	45.5636247	-87.270011	162.74	7
319	5/25/2009	2009-05-25	2:15:27	45.5618155	-87.2639596	140.03	7
320	5/25/2009	2009-05-25	2:31:26	45.5596172	-87.2638741	140.13	6
321	5/25/2009	2009-05-25	2:45:14	45.559273	-87.2639814	172.04	9
322	5/25/2009	2009-05-25	3:00:24	45.5592436	-87.2639991	150.03	11
323	5/25/2009	2009-05-25	3:15:30	45.5594031	-87.2640033	148.06	13
324	5/25/2009	2009-05-25	3:30:36	45.5593758	-87.2640576	181.85	17
325	5/25/2009	2009-05-25	3:45:37	45.5592287	-87.2636555	154.46	15
326	5/25/2009	2009-05-25	4:00:47	45.5578358	-87.2642064	145.21	9
327	5/25/2009	2009-05-25	4:15:54	45.5572755	-87.2647761	154.46	9
328	5/25/2009	2009-05-25	4:30:26	45.5572627	-87.2647913	158.65	12
329	5/25/2009	2009-05-25	4:45:30	45.5573232	-87.2648723	145.06	14
330	5/25/2009	2009-05-25	5:00:30	45.5573092	-87.2648078	142.38	14
331	5/25/2009	2009-05-25	5:15:50	45.5567801	-87.2645423	151.04	12
332	5/25/2009	2009-05-25	5:30:34	45.556714	-87.2644576	155.44	14
333	5/25/2009	2009-05-25	5:45:38	45.5567788	-87.2644624	144.17	14
334	5/25/2009	2009-05-25	6:00:53	45.5567725	-87.2644338	136.46	15
335	5/25/2009	2009-05-25	6:15:28	45.5566532	-87.2644027	110.24	15
336	5/25/2009	2009-05-25	6:30:48	45.5567066	-87.2643339	135.24	15
337	5/25/2009	2009-05-25	6:45:18	45.5564767	-87.264605	143.49	14
338	5/25/2009	2009-05-25	7:01:04	45.5558428	-87.2647696	156.56	12
339	5/25/2009	2009-05-25	7:16:34	45.5555478	-87.2646527	149.49	14
340	5/25/2009	2009-05-25	7:30:42	45.5543454	-87.2663884	174.13	11
341	5/25/2009	2009-05-25	7:45:41	45.5540374	-87.2665718	178.28	10
342	5/25/2009	2009-05-25	8:00:24	45.5539328	-87.2668568	143.46	14
343	5/25/2009	2009-05-25	8:15:43	45.5540224	-87.2668782	143.5	17
344	5/25/2009	2009-05-25	8:30:48	45.5536371	-87.266503	151.88	18
